bioguideId,depictionAttribution,depictionImageUrl,name,partyName,state,district,updateDate,url,birthYear,cosponsoredLegislationCount,cosponsoredLegislationUrl,directOrderName,firstName,honorificName,invertedOrderName,lastName,partyHistory,terms,sponsoredLegislationCount,sponsoredLegislationUrl
J000126,Congressional Pictorial Directory,https://www.congress.gov/img/member/116_rp_tx_30_johnson_eddie_200.jpg,"Johnson, Eddie Bernice",Democratic,Texas,30,2024-01-02T20:08:05Z,https://api.congress.gov/v3/member/J000126?format=json,1935,5700,https://api.congress.gov/v3/member/J000126/cosponsored-legislation,Eddie Bernice Johnson,EDDIE,MISSING,"Johnson, Eddie Bernice",JOHNSON,partyAbbreviation:D;partyName:Democratic;startYear:1993;,chamber:House of Representatives;congress:103;district:30;endYear:1995;memberType:Representative;startYear:1993;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:104;district:30;endYear:1997;memberType:Representative;startYear:1995;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:105;district:30;endYear:1999;memberType:Representative;startYear:1997;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:106;district:30;endYear:2001;memberType:Representative;startYear:1999;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:107;district:30;endYear:2003;memberType:Representative;startYear:2001;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:108;district:30;endYear:2005;memberType:Representative;startYear:2003;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:109;district:30;endYear:2007;memberType:Representative;startYear:2005;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:110;district:30;endYear:2009;memberType:Representative;startYear:2007;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:111;district:30;endYear:2011;memberType:Representative;startYear:2009;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:112;district:30;endYear:2013;memberType:Representative;startYear:2011;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:113;district:30;endYear:2015;memberType:Representative;startYear:2013;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:114;district:30;endYear:2017;memberType:Representative;startYear:2015;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:115;district:30;endYear:2019;memberType:Representative;startYear:2017;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:116;district:30;endYear:2021;memberType:Representative;startYear:2019;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:117;district:30;endYear:2023;memberType:Representative;startYear:2021;stateCode:TX;stateName:Texas;,347,https://api.congress.gov/v3/member/J000126/sponsored-legislation
M001165,Image courtesy of the Member,https://www.congress.gov/img/member/m001165_200.jpg,"McCarthy, Kevin",Republican,California,20,2024-01-02T14:24:10Z,https://api.congress.gov/v3/member/M001165?format=json,1965,628,https://api.congress.gov/v3/member/M001165/cosponsored-legislation,Kevin McCarthy,Kevin,Mr.,"McCarthy, Kevin",McCarthy,partyAbbreviation:R;partyName:Republican;startYear:2007;,chamber:House of Representatives;congress:110;district:22;endYear:2009;memberType:Representative;startYear:2007;stateCode:CA;stateName:California;chamber:House of Representatives;congress:111;district:22;endYear:2011;memberType:Representative;startYear:2009;stateCode:CA;stateName:California;chamber:House of Representatives;congress:112;district:22;endYear:2013;memberType:Representative;startYear:2011;stateCode:CA;stateName:California;chamber:House of Representatives;congress:113;district:23;endYear:2015;memberType:Representative;startYear:2013;stateCode:CA;stateName:California;chamber:House of Representatives;congress:114;district:23;endYear:2017;memberType:Representative;startYear:2015;stateCode:CA;stateName:California;chamber:House of Representatives;congress:115;district:23;endYear:2019;memberType:Representative;startYear:2017;stateCode:CA;stateName:California;chamber:House of Representatives;congress:116;district:23;endYear:2021;memberType:Representative;startYear:2019;stateCode:CA;stateName:California;chamber:House of Representatives;congress:117;district:23;endYear:2023;memberType:Representative;startYear:2021;stateCode:CA;stateName:California;chamber:House of Representatives;congress:118;district:20;endYear:2023;memberType:Representative;startYear:2023;stateCode:CA;stateName:California;,127,https://api.congress.gov/v3/member/M001165/sponsored-legislation
K000305,"<a href=""http://www.senate.gov/artandhistory/history/common/generic/Photo_Collection_of_the_Senate_Historical_Office.htm"">Courtesy U.S. Senate Historical Office</a>",https://www.congress.gov/img/member/k000305_200.jpg,"Kohl, Herb",Democratic,Wisconsin,0,2023-12-29T16:41:29Z,https://api.congress.gov/v3/member/K000305?format=json,1935,2655,https://api.congress.gov/v3/member/K000305/cosponsored-legislation,Herb Kohl,HERBERT,MISSING,"Kohl, Herb",KOHL,partyAbbreviation:D;partyName:Democratic;startYear:1989;,chamber:Senate;congress:101;endYear:1991;memberType:Senator;startYear:1989;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:102;endYear:1993;memberType:Senator;startYear:1991;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:103;endYear:1995;memberType:Senator;startYear:1993;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:104;endYear:1997;memberType:Senator;startYear:1995;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:105;endYear:1999;memberType:Senator;startYear:1997;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:106;endYear:2001;memberType:Senator;startYear:1999;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:107;endYear:2003;memberType:Senator;startYear:2001;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:108;endYear:2005;memberType:Senator;startYear:2003;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:109;endYear:2007;memberType:Senator;startYear:2005;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:110;endYear:2009;memberType:Senator;startYear:2007;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:111;endYear:2011;memberType:Senator;startYear:2009;stateCode:WI;stateName:Wisconsin;chamber:Senate;congress:112;endYear:2013;memberType:Senator;startYear:2011;stateCode:WI;stateName:Wisconsin;,644,https://api.congress.gov/v3/member/K000305/sponsored-legislation
H000392,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/h000392_200.jpg,"Hayes, Philip H.",Democratic,Indiana,8,2023-12-29T16:38:49Z,https://api.congress.gov/v3/member/H000392?format=json,1940,109,https://api.congress.gov/v3/member/H000392/cosponsored-legislation,Philip H. Hayes,PHILIP,MISSING,"Hayes, Philip H.",HAYES,partyAbbreviation:D;partyName:Democratic;startYear:1975;,chamber:House of Representatives;congress:94;district:8;endYear:1977;memberType:Representative;startYear:1975;stateCode:IN;stateName:Indiana;,9,https://api.congress.gov/v3/member/H000392/sponsored-legislation
M001228,Image courtesy of the Member,https://www.congress.gov/img/member/m001228_200.jpg,"Maloy, Celeste",Republican,Utah,2,2023-12-22T15:39:46Z,https://api.congress.gov/v3/member/M001228?format=json,1981,22,https://api.congress.gov/v3/member/M001228/cosponsored-legislation,Celeste Maloy,Celeste,MISSING,"Maloy, Celeste",Maloy,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:2;memberType:Representative;startYear:2023;stateCode:UT;stateName:Utah;,5,https://api.congress.gov/v3/member/M001228/sponsored-legislation
P000145,"<a href=""http://www.senate.gov/artandhistory/history/common/generic/Photo_Collection_of_the_Senate_Historical_Office.htm"">Courtesy U.S. Senate Historical Office</a>",https://www.congress.gov/img/member/p000145_200.jpg,"Padilla, Alex",Democratic,California,0,2023-12-21T13:42:20Z,https://api.congress.gov/v3/member/P000145?format=json,1973,1182,https://api.congress.gov/v3/member/P000145/cosponsored-legislation,Alex Padilla,Alex,Mr.,"Padilla, Alex",Padilla,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:Senate;congress:117;endYear:2023;memberType:Senator;startYear:2021;stateCode:CA;stateName:California;chamber:Senate;congress:118;memberType:Senator;startYear:2023;stateCode:CA;stateName:California;,204,https://api.congress.gov/v3/member/P000145/sponsored-legislation
A000380,Image courtesy of the Member,https://www.congress.gov/img/member/a000380_200.jpg,"Amo, Gabe",Democratic,Rhode Island,1,2023-12-11T16:12:15Z,https://api.congress.gov/v3/member/A000380?format=json,1987,35,https://api.congress.gov/v3/member/A000380/cosponsored-legislation,Gabe Amo,Gabe,Mr.,"Amo, Gabe",Amo,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:1;memberType:Representative;startYear:2023;stateCode:RI;stateName:Rhode Island;,0,MISSING
S001222,Image courtesy of the Member,https://www.congress.gov/img/member/s001222_200.jpg,"Santos, George",Republican,New York,3,2023-12-04T12:01:15Z,https://api.congress.gov/v3/member/S001222?format=json,1988,153,https://api.congress.gov/v3/member/S001222/cosponsored-legislation,George Santos,George,MISSING,"Santos, George",Santos,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:3;endYear:2023;memberType:Representative;startYear:2023;stateCode:NY;stateName:New York;,43,https://api.congress.gov/v3/member/S001222/sponsored-legislation
Z000018,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/117_rp_mt_1_zinke_ryan_200.jpg,"Zinke, Ryan K.",Republican,Montana,1,2023-11-28T14:33:28Z,https://api.congress.gov/v3/member/Z000018?format=json,1961,493,https://api.congress.gov/v3/member/Z000018/cosponsored-legislation,Ryan K. Zinke,Ryan,Mr.,"Zinke, Ryan K.",Zinke,partyAbbreviation:R;partyName:Republican;startYear:2015;,chamber:House of Representatives;congress:114;endYear:2017;memberType:Representative;startYear:2015;stateCode:MT;stateName:Montana;chamber:House of Representatives;congress:115;endYear:2017;memberType:Representative;startYear:2017;stateCode:MT;stateName:Montana;chamber:House of Representatives;congress:118;district:1;memberType:Representative;startYear:2023;stateCode:MT;stateName:Montana;,33,https://api.congress.gov/v3/member/Z000018/sponsored-legislation
K000262,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/k000262_200.jpg,"Klein, Herbert C.",Democratic,New Jersey,8,2023-11-27T15:24:44Z,https://api.congress.gov/v3/member/K000262?format=json,1930,283,https://api.congress.gov/v3/member/K000262/cosponsored-legislation,Herbert C. Klein,HERBERT,MISSING,"Klein, Herbert C.",KLEIN,partyAbbreviation:D;partyName:Democratic;startYear:1993;,chamber:House of Representatives;congress:103;district:8;endYear:1995;memberType:Representative;startYear:1993;stateCode:NJ;stateName:New Jersey;,17,https://api.congress.gov/v3/member/K000262/sponsored-legislation
J000148,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/j000148_200.jpg,"Johnson, James P. (Jim)",Republican,Colorado,4,2023-11-22T17:32:53Z,https://api.congress.gov/v3/member/J000148?format=json,1930,313,https://api.congress.gov/v3/member/J000148/cosponsored-legislation,James P. (Jim) Johnson,JAMES,MISSING,"Johnson, James P. (Jim)",JOHNSON,partyAbbreviation:R;partyName:Republican;startYear:1973;,chamber:House of Representatives;congress:93;district:4;endYear:1975;memberType:Representative;startYear:1973;stateCode:CO;stateName:Colorado;chamber:House of Representatives;congress:94;district:4;endYear:1977;memberType:Representative;startYear:1975;stateCode:CO;stateName:Colorado;chamber:House of Representatives;congress:95;district:4;endYear:1979;memberType:Representative;startYear:1977;stateCode:CO;stateName:Colorado;chamber:House of Representatives;congress:96;district:4;endYear:1981;memberType:Representative;startYear:1979;stateCode:CO;stateName:Colorado;,63,https://api.congress.gov/v3/member/J000148/sponsored-legislation
L000570,Image courtesy of the Member,https://www.congress.gov/img/member/l000570_200.jpg,"Lujan, Ben Ray",Democratic,New Mexico,0,2023-11-17T13:42:37Z,https://api.congress.gov/v3/member/L000570?format=json,1972,2601,https://api.congress.gov/v3/member/L000570/cosponsored-legislation,Ben Ray Lujan,Ben,Mr.,"Lujan, Ben Ray",Lujan,partyAbbreviation:D;partyName:Democratic;startYear:2009;,chamber:House of Representatives;congress:111;district:3;endYear:2011;memberType:Representative;startYear:2009;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:112;district:3;endYear:2013;memberType:Representative;startYear:2011;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:113;district:3;endYear:2015;memberType:Representative;startYear:2013;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:114;district:3;endYear:2017;memberType:Representative;startYear:2015;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:115;district:3;endYear:2019;memberType:Representative;startYear:2017;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:116;district:3;endYear:2021;memberType:Representative;startYear:2019;stateCode:NM;stateName:New Mexico;chamber:Senate;congress:117;endYear:2023;memberType:Senator;startYear:2021;stateCode:NM;stateName:New Mexico;chamber:Senate;congress:118;memberType:Senator;startYear:2023;stateCode:NM;stateName:New Mexico;,313,https://api.congress.gov/v3/member/L000570/sponsored-legislation
B000556,"Collection of the U.S. House of Representatives <a href=""http://history.house.gov/Collection/Detail/29091?ret=True"">About this object</a>",https://www.congress.gov/img/member/b000556_200.jpg,"Bliley, Tom",Republican,Virginia,7,2023-11-17T13:32:49Z,https://api.congress.gov/v3/member/B000556?format=json,1932,2958,https://api.congress.gov/v3/member/B000556/cosponsored-legislation,Tom Bliley,THOMAS,MISSING,"Bliley, Tom",BLILEY,partyAbbreviation:R;partyName:Republican;startYear:1981;,chamber:House of Representatives;congress:97;district:3;endYear:1983;memberType:Representative;startYear:1981;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:98;district:3;endYear:1985;memberType:Representative;startYear:1983;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:99;district:3;endYear:1987;memberType:Representative;startYear:1985;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:100;district:3;endYear:1989;memberType:Representative;startYear:1987;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:101;district:3;endYear:1991;memberType:Representative;startYear:1989;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:102;district:3;endYear:1993;memberType:Representative;startYear:1991;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:103;district:7;endYear:1995;memberType:Representative;startYear:1993;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:104;district:7;endYear:1997;memberType:Representative;startYear:1995;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:105;district:7;endYear:1999;memberType:Representative;startYear:1997;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:106;district:7;endYear:2001;memberType:Representative;startYear:1999;stateCode:VA;stateName:Virginia;,142,https://api.congress.gov/v3/member/B000556/sponsored-legislation
